Country Name,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
Iraq,4,1.01,0.971,0.536,0.304,0.148,0.095
Ireland,7,1.448,1.583,0.876,0.614,0.307,0.306
Israel,7,1.301,1.559,0.883,0.533,0.354,0.272
Italy,6,1.264,1.501,0.946,0.281,0.137,0.028
Jamaica,6,0.819,1.493,0.693,0.575,0.096,0.031
Japan,6,1.294,1.462,0.988,0.553,0.079,0.15
Jordan,5,0.822,1.265,0.645,0.468,0.13,0.134
Kazakhstan,6,1.143,1.516,0.631,0.454,0.148,0.121
Kenya,4,0.493,1.048,0.454,0.504,0.352,0.055
Kuwait,6,1.474,1.301,0.675,0.554,0.167,0.106
Latvia,6,1.148,1.454,0.671,0.363,0.092,0.066
Lebanon,5,0.965,1.179,0.785,0.503,0.214,0.136
Lesotho,4,0.472,1.215,0.079,0.423,0.116,0.112
Liberia,3,0.076,0.858,0.267,0.419,0.206,0.03
Libya,6,0.985,1.35,0.553,0.496,0.116,0.148
Lithuania,6,1.197,1.527,0.716,0.35,0.026,0.006
Luxembourg,7,1.576,1.52,0.896,0.632,0.196,0.321
Madagascar,4,0.262,0.908,0.402,0.221,0.155,0.049
Malawi,4,0.186,0.541,0.306,0.531,0.21,0.08
Malaysia,6,1.161,1.258,0.669,0.356,0.311,0.059
Mali,4,0.37,1.233,0.152,0.367,0.139,0.056
Malta,7,1.27,1.525,0.884,0.645,0.376,0.142
Mauritania,4,0.557,1.245,0.292,0.129,0.134,0.093
Mauritius,6,1.09,1.387,0.684,0.584,0.245,0.05
Mexico,6,1.038,1.252,0.761,0.479,0.069,0.095
Moldova,6,0.657,1.301,0.62,0.232,0.171,0.0
Mongolia,5,0.914,1.517,0.575,0.395,0.253,0.032
Montenegro,5,1.017,1.279,0.729,0.259,0.111,0.081
Morocco,5,0.779,0.797,0.669,0.46,0.026,0.074
Mozambique,4,0.198,0.902,0.173,0.531,0.206,0.158
Myanmar,4,0.682,1.174,0.429,0.58,0.598,0.178
Namibia,4,0.874,1.281,0.365,0.519,0.051,0.064
Nepal,5,0.425,1.228,0.539,0.526,0.302,0.078
Netherlands,7,1.361,1.488,0.878,0.638,0.333,0.295
New Zealand,7,1.268,1.601,0.876,0.669,0.365,0.389
Nicaragua,6,0.668,1.319,0.7,0.527,0.208,0.128
Niger,4,0.131,0.867,0.221,0.39,0.175,0.099
Nigeria,5,0.689,1.172,0.048,0.462,0.201,0.032
Norway,8,1.456,1.582,0.861,0.686,0.286,0.34
Pakistan,5,0.652,0.81,0.424,0.334,0.216,0.113
Panama,6,1.112,1.438,0.759,0.597,0.125,0.063
Paraguay,6,0.835,1.522,0.615,0.541,0.162,0.074
Peru,6,0.934,1.249,0.674,0.53,0.092,0.034
Philippines,6,0.775,1.312,0.513,0.643,0.12,0.105
Poland,6,1.176,1.448,0.781,0.546,0.108,0.064
Portugal,5,1.188,1.429,0.884,0.562,0.055,0.017
Qatar,6,1.649,1.303,0.748,0.654,0.256,0.171
Romania,6,1.116,1.219,0.726,0.528,0.088,0.001
Rwanda,3,0.332,0.896,0.4,0.636,0.2,0.444
Saudi Arabia,6,1.379,1.331,0.633,0.509,0.098,0.127
Senegal,5,0.429,1.117,0.433,0.406,0.138,0.082
Serbia,5,0.975,1.369,0.685,0.288,0.134,0.043
Sierra Leone,5,0.256,0.813,0.0,0.355,0.238,0.053
Singapore,6,1.529,1.451,1.008,0.631,0.261,0.457
Slovenia,6,1.219,1.506,0.856,0.633,0.16,0.051
Somalia,5,0.0,0.712,0.115,0.674,0.238,0.282
South Africa,5,0.94,1.41,0.33,0.516,0.103,0.056
South Sudan,3,0.337,0.608,0.177,0.112,0.224,0.106
Spain,6,1.251,1.538,0.965,0.449,0.142,0.074
Sri Lanka,4,0.918,1.314,0.672,0.585,0.307,0.05
Sudan,4,0.605,1.24,0.312,0.016,0.134,0.082
Sweden,7,1.355,1.501,0.913,0.659,0.285,0.383
Switzerland,7,1.42,1.549,0.927,0.66,0.256,0.357
Tajikistan,5,0.474,1.166,0.598,0.292,0.187,0.034
Tanzania,3,0.455,0.991,0.381,0.481,0.27,0.097
Thailand,6,1.016,1.417,0.707,0.637,0.364,0.029
Togo,4,0.259,0.474,0.253,0.434,0.158,0.101
Tunisia,5,0.9,0.906,0.69,0.271,0.04,0.063
Turkey,5,1.148,1.38,0.686,0.324,0.106,0.109
Turkmenistan,6,1.016,1.533,0.517,0.417,0.199,0.037
Uganda,4,0.322,1.09,0.237,0.45,0.259,0.061
Ukraine,4,0.793,1.413,0.609,0.163,0.187,0.011
United Arab Emirates,7,2.096,0.776,0.67,0.284,0.186,
United Kingdom,7,1.244,1.433,0.888,0.464,0.262,0.082
United States,7,1.398,1.471,0.819,0.547,0.291,0.133
Uruguay,6,1.093,1.459,0.771,0.625,0.13,0.155
Uzbekistan,6,0.719,1.584,0.605,0.724,0.328,0.259
Vietnam,5,0.715,1.365,0.702,0.618,0.177,0.079
Zambia,4,0.562,1.047,0.295,0.503,0.221,0.082
Zimbabwe,4,0.357,1.094,0.248,0.406,0.132,0.099
