Name,release_date,meta_score,user_review,Platform_3DS,Platform_DS,Platform_Dreamcast,Platform_Game Boy Advance,Platform_GameCube,Platform_Nintendo 64,Platform_PC,Platform_PSP,Platform_PlayStation,Platform_PlayStation 2,Platform_PlayStation 3,Platform_PlayStation 4,Platform_PlayStation Vita,Platform_Wii,Platform_Wii U,Platform_Xbox,Platform_Xbox 360,Platform_Xbox One
Grand Theft Auto III,"October 22, 2001",97,8,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Halo: Combat Evolved,"November 14, 2001",97,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
NFL 2K1,"September 7, 2000",97,6,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Half-Life 2,"November 16, 2004",96,9,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Grand Theft Auto V,"April 13, 2015",96,8,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
BioShock,"August 21, 2007",96,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
GoldenEye 007,"August 25, 1997",96,9,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Uncharted 2: Among Thieves,"October 13, 2009",96,9,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Resident Evil 4,"January 11, 2005",96,9,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
The Orange Box,"October 10, 2007",96,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
The Orange Box,"October 10, 2007",96,9,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Batman: Arkham City,"October 18, 2011",96,9,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Tekken 3,"April 29, 1998",96,9,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Mass Effect 2,"January 26, 2010",96,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
The Legend of Zelda: Twilight Princess,"December 11, 2006",96,9,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
The Elder Scrolls V: Skyrim,"November 11, 2011",96,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Half-Life,"November 19, 1998",96,9,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Resident Evil 4,"October 25, 2005",96,9,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
The Legend of Zelda: The Wind Waker,"March 24, 2003",96,9,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Gran Turismo,"April 30, 1998",96,9,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
BioShock,"August 21, 2007",96,9,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Metal Gear Solid 2: Sons of Liberty,"November 12, 2001",96,9,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Grand Theft Auto: San Andreas,"October 26, 2004",95,9,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Grand Theft Auto: Vice City,"October 27, 2002",95,9,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
LittleBigPlanet,"October 27, 2008",95,7,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Red Dead Redemption,"May 18, 2010",95,9,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Gran Turismo 3: A-Spec,"July 9, 2001",95,8,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Halo 2,"November 9, 2004",95,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
The Legend of Zelda: A Link to the Past,"December 3, 2002",95,9,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
The Legend of Zelda: Majora's Mask,"October 25, 2000",95,9,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
The Last of Us,"June 14, 2013",95,9,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
The Legend of Zelda: Twilight Princess,"November 19, 2006",95,9,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Madden NFL 2003,"August 12, 2002",95,8,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Tony Hawk's Pro Skater 2,"May 30, 2001",95,7,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Portal 2,"April 18, 2011",95,9,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Red Dead Redemption,"May 18, 2010",95,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Portal 2,"April 19, 2011",95,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Metal Gear Solid V: The Phantom Pain,"September 1, 2015",95,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Portal 2,"April 19, 2011",95,9,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
The Elder Scrolls V: Skyrim,"November 10, 2011",94,8,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
BioShock Infinite,"March 26, 2013",94,8,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Final Fantasy IX,"November 13, 2000",94,9,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Call of Duty: Modern Warfare 2,"November 10, 2009",94,7,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Tony Hawk's Pro Skater 4,"October 23, 2002",94,8,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Devil May Cry,"October 16, 2001",94,9,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Call of Duty 4: Modern Warfare,"November 5, 2007",94,8,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Madden NFL 2002,"August 19, 2001",94,7,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Batman: Arkham City,"October 18, 2011",94,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Mass Effect 2,"January 26, 2010",94,9,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Chrono Cross,"August 15, 2000",94,9,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
BioShock,"October 21, 2008",94,9,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Mass Effect 2,"January 17, 2011",94,9,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Grand Theft Auto: Vice City,"May 12, 2003",94,9,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Madden NFL 2004,"August 12, 2003",94,8,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Gears of War,"November 7, 2006",94,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
The Elder Scrolls IV: Oblivion,"March 20, 2006",94,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Call of Duty 4: Modern Warfare,"November 5, 2007",94,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
BioShock Infinite,"March 25, 2013",94,9,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Halo 3,"September 25, 2007",94,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Ninja Gaiden Black,"September 20, 2005",94,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
The Elder Scrolls IV: Oblivion,"March 20, 2006",94,8,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Street Fighter IV,"February 17, 2009",94,7,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Metal Gear Solid,"October 21, 1998",94,9,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Burnout 3: Takedown,"September 7, 2004",94,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Diablo,"December 31, 1996",94,9,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Metal Gear Solid 3: Subsistence,"March 14, 2006",94,9,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Call of Duty: Modern Warfare 2,"November 10, 2009",94,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Metal Gear Solid 4: Guns of the Patriots,"June 12, 2008",94,9,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
NCAA Football 2004,"July 16, 2003",94,8,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
God of War,"March 22, 2005",94,9,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Star Wars: Knights of the Old Republic,"July 17, 2003",94,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Sid Meier's Civilization IV,"October 25, 2005",94,8,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Madden NFL 2004,"August 12, 2003",94,7,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Virtua Fighter 4,"March 17, 2002",94,8,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Super Mario 64,"September 26, 1996",94,9,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
The Witcher 3: Wild Hunt,"May 18, 2015",93,9,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Burnout 3: Takedown,"September 7, 2004",93,9,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Super Smash Bros. Brawl,"March 9, 2008",93,9,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Company of Heroes,"September 13, 2006",93,9,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Gran Turismo 2,"November 30, 1999",93,9,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Grand Theft Auto: Chinatown Wars,"March 17, 2009",93,8,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Street Fighter Alpha 3,"April 30, 1999",93,9,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Tony Hawk's Pro Skater 3,"March 4, 2002",93,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Unreal Tournament 2004,"March 16, 2004",93,9,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
BioShock Infinite,"March 26, 2013",93,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
God of War II,"March 13, 2007",93,9,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Super Mario 3D World,"November 22, 2013",93,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
SSX,"October 30, 2000",93,8,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Street Fighter IV,"February 17, 2009",93,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Persona 5,"April 4, 2017",93,9,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
SSX 3,"October 20, 2003",93,9,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Tom Clancy's Splinter Cell,"November 17, 2002",93,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Grand Theft Auto III,"May 20, 2002",93,8,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Homeworld,"August 31, 1999",93,9,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Okami,"September 19, 2006",93,9,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
The Elder Scrolls IV: Oblivion,"March 20, 2007",93,8,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Fallout 3,"October 28, 2008",93,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Gears of War 2,"November 7, 2008",93,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
SoulCalibur II,"August 27, 2003",93,9,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
World Soccer Winning Eleven 6 International,"March 11, 2003",93,8,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
NFL 2K3,"August 12, 2002",93,7,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Mass Effect 3,"March 6, 2012",93,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Metal Gear Solid V: The Phantom Pain,"September 1, 2015",93,8,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Skies of Arcadia,"November 13, 2000",93,9,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
The Legend of Zelda: Skyward Sword,"November 20, 2011",93,8,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Rock Band 3,"October 26, 2010",93,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Viewtiful Joe,"October 7, 2003",93,8,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Castlevania: Symphony of the Night,"October 2, 1997",93,9,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Star Wars: Knights of the Old Republic,"November 18, 2003",93,9,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Virtua Fighter 4: Evolution,"August 13, 2003",93,9,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Uncharted 4: A Thief's End,"May 10, 2016",93,9,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Mass Effect 3,"March 5, 2012",93,6,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Paper Mario,"February 5, 2001",93,9,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Grand Theft Auto: San Andreas,"June 7, 2005",93,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
World of Warcraft,"November 23, 2004",93,7,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Grand Theft Auto: San Andreas,"June 7, 2005",93,9,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
World Soccer Winning Eleven 7 International,"February 17, 2004",93,8,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
SoulCalibur II,"August 27, 2003",92,9,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
The Elder Scrolls V: Skyrim,"November 11, 2011",92,7,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Prince of Persia: The Sands of Time,"November 12, 2003",92,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Call of Duty 4: Modern Warfare,"November 5, 2007",92,8,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
God of War III,"March 16, 2010",92,9,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
NFL 2K3,"August 21, 2002",92,7,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
SSX Tricky,"November 5, 2001",92,9,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
NHL 2002,"September 24, 2001",92,8,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Guitar Hero II,"April 3, 2007",92,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Prince of Persia: The Sands of Time,"November 6, 2003",92,9,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Uncharted 3: Drake's Deception,"November 1, 2011",92,8,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Rock Band,"November 20, 2007",92,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Bloodborne,"March 24, 2015",92,9,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Eternal Darkness: Sanity's Requiem,"June 23, 2002",92,9,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Warcraft III: Reign of Chaos,"July 3, 2002",92,9,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
SSX 3,"October 20, 2003",92,9,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
The Sims,"February 4, 2000",92,8,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Banjo-Kazooie,"May 31, 1998",92,9,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Rock Band 2,"December 18, 2008",92,7,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Forza Motorsport,"May 3, 2005",92,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Madden NFL 2004,"August 12, 2003",92,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Advance Wars,"September 9, 2001",92,9,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Vagrant Story,"May 15, 2000",92,9,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Final Fantasy XII,"October 31, 2006",92,8,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Madden NFL 2003,"August 12, 2002",92,8,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
The Witcher 3: Wild Hunt,"May 19, 2015",92,9,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
ESPN NFL 2K5,"July 20, 2004",92,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Super Smash Bros. Melee,"December 2, 2001",92,9,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Madden NFL 2003,"August 12, 2002",92,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Rome: Total War,"September 22, 2004",92,9,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Forza Motorsport 3,"October 27, 2009",92,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Batman: Arkham Asylum,"August 25, 2009",92,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Super Mario Sunshine,"August 25, 2002",92,8,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
SSX 3,"October 20, 2003",92,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
SoulCalibur II,"August 27, 2003",92,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Tony Hawk's Pro Skater,"August 31, 1999",92,9,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Fire Emblem: Awakening,"February 4, 2013",92,9,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Age of Empires II: The Age of Kings,"September 30, 1999",92,9,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Final Fantasy X,"December 17, 2001",92,9,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Prince of Persia: The Sands of Time,"November 18, 2003",92,8,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Wave Race 64,"November 1, 1996",92,8,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Guitar Hero II,"November 7, 2006",92,8,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Final Fantasy VII,"September 3, 1997",92,9,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Rock Band,"November 20, 2007",92,8,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Chrono Trigger,"November 25, 2008",92,9,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Journey,"March 13, 2012",92,9,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Xenoblade Chronicles,"April 6, 2012",92,9,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Conker's Bad Fur Day,"March 4, 2001",92,9,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Medal of Honor,"October 31, 1999",92,9,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Rock Band 2,"September 14, 2008",92,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
The ICO & Shadow of the Colossus Collection,"September 27, 2011",92,9,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Rayman Origins,"November 15, 2011",92,9,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Metroid Prime 2: Echoes,"November 15, 2004",92,9,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Metroid Fusion,"November 17, 2002",92,9,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Final Fantasy VI Advance,"February 5, 2007",92,9,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Rayman Legends,"September 3, 2013",92,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Madden NFL 2005,"August 9, 2004",91,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Rock Band 2,"October 19, 2008",91,8,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Dark Souls II,"March 11, 2014",91,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Dishonored,"October 8, 2012",91,8,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
ESPN NFL Football,"September 3, 2003",91,8,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
LittleBigPlanet 2,"January 18, 2011",91,9,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Microsoft Flight Simulator,"August 18, 2020",91,7,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Guitar Hero,"November 7, 2005",91,9,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
World of Warcraft: Wrath of the Lich King,"November 13, 2008",91,8,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Rock Band 3,"October 26, 2010",91,7,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Overwatch,"May 23, 2016",91,6,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Tony Hawk's Pro Skater 4,"October 23, 2002",91,8,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Madden NFL 2001,"October 23, 2000",91,8,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Bayonetta 2,"September 20, 2014",91,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
The Witcher 3: Wild Hunt,"May 19, 2015",91,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Rock Band 3,"October 26, 2010",91,8,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Klonoa 2: Lunatea's Veil,"July 25, 2001",91,9,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
IL-2 Sturmovik,"November 18, 2001",91,9,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Mario Tennis,"August 28, 2000",91,9,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Colony Wars,"October 31, 1997",91,8,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Metal Gear Solid V: The Phantom Pain,"September 1, 2015",91,8,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Ratchet & Clank: Up Your Arsenal,"November 3, 2004",91,9,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
FIFA Soccer 10,"October 20, 2009",91,8,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Assassin's Creed II,"November 17, 2009",91,9,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Metal Gear Solid 3: Snake Eater,"November 17, 2004",91,9,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Twisted Metal: Black,"June 18, 2001",91,8,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Spyro: Year of the Dragon,"October 23, 2000",91,9,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Tomb Raider,"November 15, 1996",91,8,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Overwatch,"May 23, 2016",91,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Shadow of the Colossus,"October 18, 2005",91,9,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Forza Horizon 3,"September 23, 2016",91,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Borderlands 2,"September 18, 2012",91,8,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
NCAA Football 2003,"July 20, 2002",91,8,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Crysis,"November 13, 2007",91,8,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Ninja Gaiden,"March 2, 2004",91,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
God of War: Chains of Olympus,"March 4, 2008",91,9,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
World of Warcraft: The Burning Crusade,"January 16, 2007",91,7,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
MLB 10: The Show,"March 2, 2010",91,8,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
