Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,user_review
Grand Theft Auto V,Xbox One,2014.0,Action,Take-Two Interactive,2.66,2.01,0.0,0.41,5.08,8
Grand Theft Auto: Vice City Stories,PSP,2006.0,Action,Take-Two Interactive,1.7,2.02,0.16,1.21,5.08,8
FIFA Soccer 11,PlayStation 3,2010.0,Sports,Electronic Arts,0.6,3.29,0.06,1.13,5.08,8
Resident Evil,PlayStation,1996.0,Action,Virgin Interactive,2.05,1.16,1.11,0.73,5.05,9
Tony Hawk's Pro Skater,PlayStation,1999.0,Sports,Activision,3.42,1.38,0.02,0.2,5.02,9
Link's Crossbow Training,Wii,2007.0,Shooter,Nintendo,3.06,1.18,0.29,0.46,5.0,7
Guitar Hero III: Legends of Rock,PlayStation 2,2007.0,Misc,Activision,3.49,0.01,0.01,1.48,4.98,8
Fallout 3,Xbox 360,2008.0,Role-Playing,Bethesda Softworks,3.39,1.03,0.09,0.44,4.96,8
Uncharted: Drake's Fortune,PlayStation 3,2007.0,Action,Sony Computer Entertainment,2.31,1.73,0.12,0.78,4.94,8
Madden NFL 06,PlayStation 2,2005.0,Sports,Electronic Arts,3.98,0.26,0.01,0.66,4.91,8
LEGO Star Wars: The Complete Saga,DS,2007.0,Action,LucasArts,2.89,1.54,0.0,0.46,4.9,6
Diddy Kong Racing,Nintendo 64,1997.0,Racing,Nintendo,2.91,0.99,0.89,0.1,4.88,8
God of War III,PlayStation 3,2010.0,Action,Sony Computer Entertainment,2.74,1.36,0.12,0.63,4.84,9
Assassin's Creed,PlayStation 3,2007.0,Adventure,Ubisoft,1.91,2.0,0.09,0.83,4.83,7
Crash Team Racing,PlayStation,1999.0,Racing,Sony Computer Entertainment,2.57,1.57,0.44,0.21,4.79,9
FIFA 17,PlayStation 4,2016.0,Sports,Electronic Arts,0.28,3.75,0.06,0.69,4.77,5
Batman: Arkham City,Xbox 360,2011.0,Action,Warner Bros. Interactive Entertainment,2.99,1.31,0.04,0.41,4.76,9
Driver 2,PlayStation,2000.0,Action,Atari,2.36,2.1,0.02,0.25,4.73,8
The Simpsons: Hit & Run,PlayStation 2,2003.0,Racing,Vivendi Games,1.73,2.19,0.0,0.79,4.7,9
Tony Hawk's Pro Skater 2,PlayStation,2000.0,Sports,Activision,3.05,1.41,0.02,0.2,4.68,7
Animal Crossing: City Folk,Wii,2008.0,Simulation,Nintendo,1.87,1.12,1.32,0.37,4.68,8
The Lord of the Rings: The Two Towers,PlayStation 2,2002.0,Action,Electronic Arts,1.94,1.95,0.08,0.7,4.67,8
Forza Motorsport 4,Xbox 360,2011.0,Racing,Microsoft Game Studios,2.08,2.04,0.06,0.47,4.64,8
Tomb Raider,PlayStation,1996.0,Action,Eidos Interactive,2.29,1.97,0.13,0.24,4.63,8
Guitar Hero III: Legends of Rock,Wii,2007.0,Misc,Activision,3.06,1.12,0.0,0.44,4.62,8
The Legend of Zelda: The Wind Waker,GameCube,2002.0,Action,Nintendo,2.6,0.99,0.89,0.13,4.6,9
Mario & Sonic at the Olympic Winter Games,Wii,2009.0,Sports,Sega,1.89,1.99,0.22,0.48,4.58,8
Luigi's Mansion: Dark Moon,3DS,2013.0,Action,Nintendo,1.78,1.39,1.1,0.3,4.58,8
Splatoon,Wii U,2015.0,Shooter,Nintendo,1.55,1.15,1.44,0.43,4.57,9
Guitar Hero III: Legends of Rock,Xbox 360,2007.0,Misc,Activision,3.19,0.92,0.01,0.42,4.53,8
Madden NFL 2005,PlayStation 2,2004.0,Sports,Electronic Arts,4.18,0.26,0.01,0.08,4.53,8
Madden NFL 07,PlayStation 2,2006.0,Sports,Electronic Arts,3.63,0.24,0.01,0.61,4.49,8
Spider-Man: The Movie,PlayStation 2,2002.0,Action,Activision,2.71,1.51,0.03,0.23,4.48,8
Uncharted: The Nathan Drake Collection,PlayStation 4,2015.0,Action,Sony Computer Entertainment,1.96,1.69,0.08,0.74,4.47,9
God of War,PlayStation 2,2005.0,Action,Sony Computer Entertainment,2.71,1.29,0.02,0.43,4.45,9
Nintendo Land,Wii U,2012.0,Misc,Nintendo,2.55,1.11,0.46,0.33,4.44,8
Tony Hawk's Pro Skater 3,PlayStation 2,2001.0,Sports,Activision,2.66,1.29,0.01,0.46,4.41,8
Winning Eleven: Pro Evolution Soccer 2007,PlayStation 2,2006.0,Sports,Konami Digital Entertainment,0.1,2.39,1.05,0.86,4.39,9
The Elder Scrolls IV: Oblivion,Xbox 360,2006.0,Role-Playing,Take-Two Interactive,2.82,1.05,0.13,0.4,4.39,9
Resistance: Fall of Man,PlayStation 3,2006.0,Shooter,Sony Computer Entertainment,1.73,1.73,0.14,0.75,4.35,8
Kingdom Hearts II,PlayStation 2,2005.0,Role-Playing,Square Enix,2.2,0.58,1.38,0.17,4.33,9
FIFA 14,Xbox 360,2013.0,Sports,Electronic Arts,0.92,2.93,0.01,0.46,4.31,4
Fable II,Xbox 360,2008.0,Role-Playing,Microsoft Game Studios,2.51,1.27,0.11,0.41,4.31,7
Halo 5: Guardians,Xbox One,2015.0,Shooter,Microsoft Game Studios,2.64,1.2,0.03,0.39,4.26,6
Super Mario 3D World,Wii U,2013.0,Platform,Nintendo,2.11,1.11,0.72,0.3,4.25,9
Batman: Arkham Asylum,PlayStation 3,2009.0,Action,Eidos Interactive,2.23,1.34,0.07,0.61,4.25,9
Assassin's Creed: Revelations,PlayStation 3,2011.0,Action,Ubisoft,1.41,2.02,0.1,0.72,4.24,8
Namco Museum,Game Boy Advance,2001.0,Misc,Namco Bandai Games,3.0,1.11,0.05,0.07,4.24,8
Metal Gear Solid 3: Snake Eater,PlayStation 2,2004.0,Action,Konami Digital Entertainment,1.46,0.0,0.83,1.93,4.23,9
Daxter,PSP,2006.0,Platform,Sony Computer Entertainment,2.45,1.02,0.0,0.75,4.22,9
FIFA Soccer 06,PlayStation 2,2005.0,Sports,Electronic Arts,0.78,2.55,0.04,0.84,4.21,8
Uncharted 4: A Thief's End,PlayStation 4,2016.0,Shooter,Sony Computer Entertainment,1.3,2.07,0.18,0.65,4.2,9
Gran Turismo 5 Prologue,PlayStation 3,2007.0,Racing,Sony Computer Entertainment,1.28,1.83,0.57,0.53,4.2,7
Assassin's Creed: Revelations,Xbox 360,2011.0,Action,Ubisoft,2.25,1.47,0.04,0.43,4.19,7
Street Fighter IV,PlayStation 3,2009.0,Fighting,Capcom,2.02,1.06,0.58,0.53,4.19,7
Madden NFL 2003,PlayStation 2,2002.0,Sports,Electronic Arts,3.36,0.21,0.01,0.56,4.14,8
Watch Dogs,PlayStation 4,2014.0,Action,Ubisoft,1.4,1.86,0.11,0.77,4.14,6
Half-Life,PC,1997.0,Shooter,Vivendi Games,4.03,0.0,0.09,0.0,4.12,9
The Legend of Zelda: Skyward Sword,Wii,2011.0,Action,Nintendo,2.14,1.2,0.37,0.4,4.1,8
Fallout 4,Xbox One,2015.0,Role-Playing,Bethesda Softworks,2.45,1.26,0.01,0.37,4.09,6
World of Warcraft: The Burning Crusade,PC,2007.0,Role-Playing,Activision,2.57,1.52,0.0,0.0,4.09,7
Fallout: New Vegas,Xbox 360,2010.0,Role-Playing,Bethesda Softworks,2.65,1.06,0.04,0.33,4.08,9
God of War II,PlayStation 2,2007.0,Action,Sony Computer Entertainment,2.32,0.04,0.04,1.67,4.07,9
Forza Motorsport 2,Xbox 360,2007.0,Racing,Microsoft Game Studios,2.35,1.28,0.03,0.41,4.06,8
Tekken Tag Tournament,PlayStation 2,2000.0,Fighting,Namco Bandai Games,1.68,1.51,0.51,0.35,4.05,8
Far Cry 4,PlayStation 4,2014.0,Shooter,Ubisoft,1.12,2.12,0.1,0.69,4.03,8
Star Fox 64,Nintendo 64,1997.0,Shooter,Nintendo,2.78,0.58,0.64,0.04,4.03,9
Fallout 3,PlayStation 3,2008.0,Role-Playing,Bethesda Softworks,2.15,1.2,0.07,0.59,4.01,8
Professor Layton and the Diabolical Box,DS,2007.0,Puzzle,Nintendo,0.92,1.78,0.92,0.37,4.0,8
Left 4 Dead 2,Xbox 360,2009.0,Shooter,Electronic Arts,2.67,0.89,0.05,0.37,3.99,8
EA Sports Active,Wii,2009.0,Sports,Electronic Arts,2.1,1.36,0.06,0.4,3.92,8
Tony Hawk's Underground,PlayStation 2,2003.0,Sports,Activision,2.29,1.17,0.01,0.42,3.9,9
Assassin's Creed IV: Black Flag,PlayStation 3,2013.0,Action,Ubisoft,1.33,1.71,0.13,0.73,3.89,8
Monster Hunter 4 Ultimate,3DS,2014.0,Role-Playing,Nintendo,0.67,0.49,2.62,0.11,3.89,9
MotorStorm,PlayStation 3,2006.0,Racing,Sony Computer Entertainment,1.53,1.61,0.06,0.67,3.88,7
The Elder Scrolls V: Skyrim,PC,2011.0,Role-Playing,Bethesda Softworks,1.15,2.09,0.0,0.64,3.88,8
Tekken 5,PlayStation 2,2005.0,Fighting,Namco Bandai Games,0.93,1.94,0.31,0.7,3.87,9
Sports Champions,PlayStation 3,2010.0,Sports,Sony Computer Entertainment,2.12,1.14,0.1,0.51,3.87,8
NBA 2K16,PlayStation 4,2015.0,Sports,Take-Two Interactive,2.48,0.65,0.03,0.69,3.85,7
World Soccer Winning Eleven 8 International,PlayStation 2,2004.0,Sports,Konami Digital Entertainment,0.16,1.89,1.12,0.68,3.85,8
Flash Focus: Vision Training in Minutes a Day,DS,2007.0,Misc,Nintendo,0.87,1.57,1.05,0.35,3.84,4
Mario & Luigi: Bowser's Inside Story,DS,2009.0,Role-Playing,Nintendo,2.26,0.48,0.81,0.27,3.83,9
Big Brain Academy: Wii Degree,Wii,2007.0,Misc,Nintendo,1.06,1.93,0.41,0.43,3.82,7
Batman: Arkham Knight,PlayStation 4,2015.0,Action,Warner Bros. Interactive Entertainment,1.49,1.58,0.1,0.61,3.79,8
Mario & Sonic at the London 2012 Olympic Games,Wii,2011.0,Sports,Sega,1.14,1.91,0.27,0.46,3.78,8
LEGO Indiana Jones: The Original Adventures,Xbox 360,2008.0,Action,Activision,2.4,1.03,0.0,0.36,3.78,8
Ratchet & Clank: Size Matters,PSP,2007.0,Platform,Sony Computer Entertainment,1.4,1.4,0.1,0.87,3.77,8
The Sims: Unleashed,PC,2002.0,Simulation,Electronic Arts,2.03,1.56,0.0,0.17,3.76,8
Super Paper Mario,Wii,2007.0,Platform,Nintendo,1.98,0.88,0.59,0.32,3.76,8
Harry Potter and the Sorcerer's Stone,PlayStation,2001.0,Action,Electronic Arts,1.37,2.0,0.14,0.22,3.73,8
The Witcher 3: Wild Hunt,PlayStation 4,2015.0,Role-Playing,Namco Bandai Games,0.96,2.0,0.21,0.56,3.73,9
Resident Evil 3: Nemesis,PlayStation,1999.0,Action,Eidos Interactive,1.3,0.77,1.54,0.11,3.72,8
Spyro: Year of the Dragon,PlayStation,2000.0,Platform,Sony Computer Entertainment,1.93,1.58,0.0,0.19,3.71,9
FIFA Soccer 2005,PlayStation 2,2004.0,Sports,Electronic Arts,0.58,2.48,0.04,0.59,3.7,7
Battlefield 4,PlayStation 3,2013.0,Shooter,Electronic Arts,1.3,1.51,0.27,0.61,3.69,6
MySims,DS,2007.0,Simulation,Electronic Arts,1.59,1.61,0.08,0.41,3.69,7
Tony Hawk's Pro Skater 4,PlayStation 2,2002.0,Sports,Activision,2.13,1.18,0.01,0.35,3.67,8
Midnight Club 3: DUB Edition,PSP,2005.0,Racing,Take-Two Interactive,1.65,1.22,0.0,0.79,3.66,8
Banjo-Kazooie,Nintendo 64,1998.0,Platform,Nintendo,1.87,1.13,0.55,0.1,3.65,9
SOCOM: U.S. Navy SEALs,PlayStation 2,2002.0,Shooter,Sony Computer Entertainment,2.53,0.81,0.06,0.24,3.65,8
